x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
8.106573,0.000000,255.270250,87.0,87.0,1.0,5.0,17.67702,5.33959,1.24741,-1.24742,0.0,-2.98725,56.57062107
41.410827,0.000000,254.949570,88.0,88.0,1.0,5.0,16.80152,3.94195,1.22535,-1.22535,0.0,-2.66412,59.51842452
19.056930,0.000000,256.738523,89.0,89.0,1.0,5.0,18.11431,5.92376,1.25802,-1.25803,0.0,-2.74668,55.20497331
8.821580,0.000000,256.158237,90.0,90.0,1.0,5.0,17.71718,5.46599,1.24839,-1.2484,0.0,-2.83729,56.44239094
41.519333,0.000000,255.892737,91.0,91.0,1.0,5.0,16.82638,3.93186,1.22599,-1.22599,0.0,-2.59528,59.43048951
0.349663,0.000000,255.629033,92.0,92.0,1.0,5.0,17.51136,4.65937,1.24332,-1.24332,0.0,-3.65834,57.10578733
23.661570,0.000000,255.214463,93.0,93.0,1.0,5.0,18.09285,5.6955,1.25751,-1.25751,0.0,-2.34741,55.27045214
21.200637,0.000000,257.118993,94.0,94.0,1.0,5.0,18.21126,5.90902,1.26034,-1.26035,0.0,-2.3894,54.91108248
7.250007,0.000000,257.283980,95.0,95.0,1.0,5.0,17.68526,5.40702,1.24761,-1.24762,0.0,-3.10882,56.54426341
0.884980,0.000000,255.164647,96.0,96.0,1.0,5.0,17.51674,4.70611,1.24345,-1.24346,0.0,-3.61554,57.08824816
16.817593,0.000000,255.006323,97.0,97.0,1.0,5.0,17.9369,5.74122,1.25375,-1.25375,0.0,-2.49415,55.75099376
1.000393,0.000000,256.533520,98.0,98.0,1.0,5.0,17.5373,4.76337,1.24396,-1.24397,0.0,-3.57445,57.02132027
21.433733,0.000000,255.418123,99.0,99.0,1.0,5.0,18.08895,5.77158,1.25741,-1.25742,0.0,-2.50488,55.28236852
10.386560,0.000000,254.931780,100.0,100.0,1.0,5.0,17.73946,5.48231,1.24894,-1.24895,0.0,-2.83198,56.37150173
9.249963,0.000000,255.094850,101.0,101.0,1.0,5.0,17.70639,5.4126,1.24813,-1.24814,0.0,-2.92382,56.47678606
29.663693,0.000000,256.046310,102.0,102.0,1.0,5.0,18.07381,5.36906,1.25705,-1.25706,0.0,-2.2199,55.32867724
36.132133,0.000000,255.512470,103.0,103.0,1.0,5.0,17.4828,4.6339,1.24261,-1.24262,0.0,-2.43302,57.19907566
9.896300,0.000000,255.920870,104.0,104.0,1.0,5.0,17.74652,5.52935,1.24911,-1.24912,0.0,-2.99407,56.34907576
37.058070,0.000000,254.759660,105.0,105.0,1.0,5.0,17.34484,4.52472,1.23917,-1.23917,0.0,-2.49734,57.65403428
6.744640,0.000000,257.077060,106.0,106.0,1.0,5.0,17.67029,5.35694,1.24724,-1.24725,0.0,-3.16732,56.59216685
21.621963,0.000000,257.125497,107.0,107.0,1.0,5.0,18.22508,5.89916,1.26067,-1.26068,0.0,-2.37101,54.86944365
17.948517,0.000000,254.859177,108.0,108.0,1.0,5.0,17.9653,5.74536,1.25443,-1.25444,0.0,-2.46704,55.66286118
36.032183,0.000000,254.917613,109.0,109.0,1.0,5.0,17.46352,4.64854,1.24213,-1.24214,0.0,-2.41808,57.26222434
19.064850,0.000000,254.744443,110.0,110.0,1.0,5.0,17.99582,5.74574,1.25517,-1.25518,0.0,-2.44401,55.56845979
18.579773,0.000000,255.853943,111.0,111.0,1.0,5.0,18.04236,5.83883,1.25629,-1.2563,0.0,-2.2061,55.42512177
27.844223,0.000000,254.734977,112.0,112.0,1.0,5.0,18.00268,5.42539,1.25534,-1.25534,0.0,-2.28974,55.54728518
8.940157,0.000000,256.740233,113.0,113.0,1.0,5.0,17.74036,5.54818,1.24896,-1.24897,0.0,-2.86536,56.3686419
27.943993,0.000000,255.343263,114.0,114.0,1.0,5.0,18.07037,5.46033,1.25697,-1.25697,0.0,-2.21721,55.33920999
31.692133,0.000000,255.469300,115.0,115.0,1.0,5.0,17.88142,5.14354,1.2524,-1.25241,0.0,-2.43546,55.92397024
15.897477,0.000000,255.769853,116.0,116.0,1.0,5.0,17.94758,5.79944,1.25401,-1.25401,0.0,-2.61732,55.71781822
26.759193,0.000000,254.977420,117.0,117.0,1.0,5.0,18.05165,5.51476,1.25652,-1.25652,0.0,-2.27549,55.39659809
22.551930,0.000000,255.821317,118.0,118.0,1.0,5.0,18.15899,5.79836,1.25909,-1.2591,0.0,-2.48285,55.06914206
1.108923,0.000000,257.154997,119.0,119.0,1.0,5.0,17.5546,4.82057,1.24439,-1.2444,0.0,-3.59766,56.96512595
9.584360,0.000000,257.276287,120.0,120.0,1.0,5.0,17.77059,5.6384,1.2497,-1.24971,0.0,-3.28314,56.27275178
22.471660,0.000000,256.791587,121.0,121.0,1.0,5.0,18.22975,5.86216,1.26078,-1.26079,0.0,-2.66203,54.85538748
3.356600,0.000000,255.129710,122.0,122.0,1.0,5.0,17.56037,4.92894,1.24453,-1.24454,0.0,-3.60686,56.9464083
30.135413,0.000000,256.317993,123.0,123.0,1.0,5.0,18.05768,5.32929,1.25666,-1.25667,0.0,-2.37039,55.37809951
7.013700,0.000000,255.491840,124.0,124.0,1.0,5.0,17.65127,5.26505,1.24678,-1.24678,0.0,-3.17052,56.65314734
6.661783,0.000000,256.510957,125.0,125.0,1.0,5.0,17.6579,5.30203,1.24694,-1.24695,0.0,-3.14997,56.63187582
7.129920,0.000000,256.103433,126.0,126.0,1.0,5.0,17.66862,5.3305,1.2472,-1.24721,0.0,-3.13614,56.59751582
33.126867,0.000000,254.973547,127.0,127.0,1.0,5.0,17.74877,4.98421,1.24917,-1.24917,0.0,-2.30162,56.34193243
24.206733,0.000000,256.033573,128.0,128.0,1.0,5.0,18.17581,5.74303,1.25949,-1.2595,0.0,-2.37899,55.01818076
15.764290,0.000000,255.167767,129.0,129.0,1.0,5.0,17.91198,5.73518,1.25314,-1.25315,0.0,-2.71041,55.8285572
8.618783,0.000000,257.185013,130.0,130.0,1.0,5.0,17.73143,5.54017,1.24874,-1.24875,0.0,-3.1882,56.39703058
28.234723,0.000000,256.467100,131.0,131.0,1.0,5.0,18.15797,5.50081,1.25907,-1.25907,0.0,-2.4609,55.0722355
24.727127,0.000000,255.187210,132.0,132.0,1.0,5.0,18.08877,5.64779,1.25741,-1.25742,0.0,-2.48045,55.28291863
21.024187,0.000000,256.246027,133.0,133.0,1.0,5.0,18.14638,5.84997,1.25879,-1.2588,0.0,-2.75913,55.10740985
12.142537,0.000000,254.812107,134.0,134.0,1.0,5.0,17.79355,5.58294,1.25026,-1.25027,0.0,-2.93568,56.20013994
38.109287,0.000000,254.721467,135.0,135.0,1.0,5.0,17.22659,4.39742,1.2362,-1.2362,0.0,-2.44224,58.04979395
2.061763,0.000000,256.333840,136.0,136.0,1.0,5.0,17.55205,4.85981,1.24433,-1.24433,0.0,-3.58112,56.97340197
25.772317,0.000000,255.177567,137.0,137.0,1.0,5.0,18.07949,5.59416,1.25719,-1.25719,0.0,-2.38584,55.31129473
10.966377,0.000000,255.809913,138.0,138.0,1.0,5.0,17.77856,5.59024,1.2499,-1.2499,0.0,-2.81537,56.24752511
32.142937,0.000000,255.159863,139.0,139.0,1.0,5.0,17.83424,5.09034,1.25125,-1.25126,0.0,-2.39752,56.0719156
26.233527,0.000000,254.798747,140.0,140.0,1.0,5.0,18.04982,5.54192,1.25647,-1.25648,0.0,-2.34373,55.40221454
20.968193,0.000000,256.679523,141.0,141.0,1.0,5.0,18.17836,5.89309,1.25955,-1.25956,0.0,-2.84131,55.01046299
9.491050,0.000000,256.834070,142.0,142.0,1.0,5.0,17.75461,5.58244,1.24931,-1.24932,0.0,-3.05324,56.32339995
39.019617,0.000000,256.037447,143.0,143.0,1.0,5.0,17.16793,4.26444,1.23472,-1.23472,0.0,-2.83032,58.24814057
5.075453,0.000000,255.860653,144.0,144.0,1.0,5.0,17.60908,5.12402,1.24574,-1.24574,0.0,-3.31905,56.78888392
51.139313,0.000000,255.668837,145.0,145.0,1.0,5.0,15.56474,2.69272,1.19214,-1.19214,0.0,-3.16011,64.24778056
29.641957,0.000000,255.462907,146.0,146.0,1.0,5.0,18.00276,5.33552,1.25534,-1.25535,0.0,-2.2839,55.54703834
18.632373,0.000000,256.445803,147.0,147.0,1.0,5.0,18.09181,5.91303,1.25748,-1.25749,0.0,-2.49718,55.27362934
33.652147,0.000000,255.185967,148.0,148.0,1.0,5.0,17.71968,4.93734,1.24846,-1.24846,0.0,-2.53455,56.43442771
7.481197,0.000000,255.055040,149.0,149.0,1.0,5.0,17.66021,5.28984,1.247,-1.247,0.0,-3.10776,56.62446823
42.523517,0.000000,255.805647,150.0,150.0,1.0,5.0,16.70053,3.80408,1.22273,-1.22273,0.0,-2.58733,59.87833919
24.252073,0.000000,256.522730,151.0,151.0,1.0,5.0,18.23281,5.77772,1.26085,-1.26086,0.0,-2.40449,54.84618114
58.667123,0.000000,255.023190,152.0,152.0,1.0,5.0,14.97376,2.12101,1.17533,-1.17533,0.0,-3.48847,66.78349326
16.216817,0.000000,254.771823,153.0,153.0,1.0,5.0,17.91587,5.7227,1.25324,-1.25325,0.0,-2.52038,55.81643537
24.197437,0.000000,254.909290,154.0,154.0,1.0,5.0,18.07991,5.66138,1.2572,-1.2572,0.0,-2.41084,55.31000984
14.519950,0.000000,256.176697,155.0,155.0,1.0,5.0,17.91183,5.79282,1.25314,-1.25315,0.0,-2.7783,55.82902473
39.226480,0.000000,255.247727,156.0,156.0,1.0,5.0,17.1212,4.24486,1.23353,-1.23354,0.0,-2.62425,58.407121
2.081833,0.000000,256.892420,157.0,157.0,1.0,5.0,17.5663,4.91041,1.24468,-1.24469,0.0,-3.6753,56.92718444
30.719713,0.000000,255.342330,158.0,158.0,1.0,5.0,17.94203,5.23732,1.25387,-1.25388,0.0,-2.25987,55.73505339
10.408760,0.000000,255.561833,159.0,159.0,1.0,5.0,17.76017,5.55154,1.24945,-1.24945,0.0,-2.94383,56.30576734
1.495613,0.000000,256.100447,160.0,160.0,1.0,5.0,17.5425,4.80848,1.24409,-1.2441,0.0,-3.74264,57.00441784
10.931207,0.000000,256.348213,161.0,161.0,1.0,5.0,17.79474,5.65088,1.25029,-1.2503,0.0,-2.9432,56.19638163
52.508110,0.000000,255.712130,162.0,162.0,1.0,5.0,15.41483,2.5452,1.18794,-1.18794,0.0,-3.0991,64.87259347
19.102727,0.000000,255.454963,163.0,163.0,1.0,5.0,18.05015,5.82147,1.25648,-1.25649,0.0,-2.28652,55.40120165
25.236857,0.000000,254.885463,164.0,164.0,1.0,5.0,18.07426,5.61304,1.25706,-1.25707,0.0,-2.4821,55.32729971
49.859087,0.000000,255.992943,165.0,165.0,1.0,5.0,15.70364,2.82232,1.196,-1.196,0.0,-2.99581,63.67950361
47.227040,0.000000,256.177630,166.0,166.0,1.0,5.0,16.04868,3.15383,1.20544,-1.20544,0.0,-2.77485,62.31042055
46.354900,0.000000,256.255033,167.0,167.0,1.0,5.0,16.16686,3.26519,1.20863,-1.20863,0.0,-2.78215,61.85493039
45.477740,0.000000,256.312613,168.0,168.0,1.0,5.0,16.29029,3.38123,1.21193,-1.21193,0.0,-2.72059,61.38626139
42.901147,0.000000,256.516600,169.0,169.0,1.0,5.0,16.65561,3.72975,1.22156,-1.22156,0.0,-2.6975,60.03983042
2.521633,0.000000,258.358193,170.0,170.0,1.0,5.0,17.58826,5.00605,1.24522,-1.24523,0.0,-3.75033,56.85610743
40.171113,0.000000,256.627307,171.0,171.0,1.0,5.0,17.06109,4.12567,1.23201,-1.23201,0.0,-2.40477,58.61290222
2.521637,0.000000,257.103207,172.0,172.0,1.0,5.0,17.57458,4.95986,1.24489,-1.24489,0.0,-3.77047,56.90036405
57.765307,0.000000,255.142053,173.0,173.0,1.0,5.0,15.02305,2.1669,1.17676,-1.17676,0.0,-3.53641,66.5643794
5.095887,0.000000,258.217770,174.0,174.0,1.0,5.0,17.63624,5.24679,1.24641,-1.24641,0.0,-3.39106,56.70142842
36.451483,0.000000,256.539553,175.0,175.0,1.0,5.0,17.51608,4.62083,1.24344,-1.24344,0.0,-2.49185,57.09039922
31.455503,0.000000,257.086527,176.0,176.0,1.0,5.0,18.04422,5.22444,1.25634,-1.25634,0.0,-2.39244,55.41940854
7.736557,0.000000,258.075757,177.0,177.0,1.0,5.0,17.70904,5.50422,1.24819,-1.2482,0.0,-3.03816,56.46833482
25.293143,0.000000,257.328947,178.0,178.0,1.0,5.0,18.29114,5.75828,1.26224,-1.26225,0.0,-2.44642,54.67127801
22.715810,0.000000,257.476133,179.0,179.0,1.0,5.0,18.27527,5.88153,1.26186,-1.26187,0.0,-2.51905,54.71875381
0.787037,0.000000,257.575890,180.0,180.0,1.0,5.0,17.55355,4.77693,1.24436,-1.24437,0.0,-3.92406,56.96853343
10.378007,0.000000,257.981220,181.0,181.0,1.0,5.0,17.80576,5.74365,1.25056,-1.25057,0.0,-2.94134,56.16160164
37.591133,0.000000,256.787263,182.0,182.0,1.0,5.0,17.40524,4.47961,1.24068,-1.24068,0.0,-2.51454,57.45396214
44.583290,0.000000,256.399717,183.0,183.0,1.0,5.0,16.41831,3.50188,1.21533,-1.21533,0.0,-2.75324,60.90760864
11.242033,0.000000,257.932037,184.0,184.0,1.0,5.0,17.83517,5.79492,1.25128,-1.25128,0.0,-2.88002,56.06899177
17.392783,0.000000,257.608467,185.0,185.0,1.0,5.0,18.074,5.9714,1.25705,-1.25706,0.0,-2.54713,55.32809561
12.117943,0.000000,257.879993,186.0,186.0,1.0,5.0,17.86562,5.83747,1.25202,-1.25203,0.0,-2.81289,55.97342829
12.165683,0.000000,256.136333,187.0,187.0,1.0,5.0,17.83095,5.69426,1.25117,-1.25118,0.0,-2.86328,56.08226146
3.308733,0.000000,256.557133,188.0,188.0,1.0,5.0,17.58232,5.01084,1.24508,-1.24508,0.0,-3.58513,56.87531566
13.871997,0.000000,257.776660,189.0,189.0,1.0,5.0,17.93051,5.90199,1.25359,-1.2536,0.0,-2.70698,55.77086207
48.987150,0.000000,256.047340,190.0,190.0,1.0,5.0,15.80849,2.92278,1.19889,-1.19889,0.0,-2.895,63.25714853
38.491910,0.000000,256.704227,191.0,191.0,1.0,5.0,17.29237,4.36216,1.23785,-1.23786,0.0,-2.39016,57.82897313
26.207670,0.000000,257.224657,192.0,192.0,1.0,5.0,18.27985,5.69124,1.26197,-1.26198,0.0,-2.2685,54.70504408
63.916003,0.000000,254.710910,193.0,193.0,1.0,5.0,14.74773,1.92864,1.16873,-1.16873,0.0,-3.80709,67.80704556
48.093890,0.000000,256.087007,194.0,194.0,1.0,5.0,15.92612,3.03646,1.20211,-1.20211,0.0,-2.74342,62.78993251
12.994973,0.000000,257.829183,195.0,195.0,1.0,5.0,17.89765,5.87359,1.2528,-1.2528,0.0,-2.75637,55.8732571
39.331197,0.000000,256.749183,196.0,196.0,1.0,5.0,17.18134,4.24699,1.23506,-1.23506,0.0,-2.68149,58.20267802
4.223293,0.000000,258.254127,197.0,197.0,1.0,5.0,17.61701,5.16399,1.24593,-1.24594,0.0,-3.47142,56.76332136
33.167910,0.000000,257.012897,198.0,198.0,1.0,5.0,17.90934,5.05243,1.25308,-1.25309,0.0,-2.40256,55.83678684
6.850477,0.000000,258.127260,199.0,199.0,1.0,5.0,17.68206,5.41675,1.24753,-1.24754,0.0,-3.16559,56.55449648
30.557923,0.000000,257.127937,200.0,200.0,1.0,5.0,18.10835,5.31443,1.25788,-1.25788,0.0,-2.39703,55.22314291
27.059733,0.000000,257.287827,201.0,201.0,1.0,5.0,18.26306,5.62337,1.26157,-1.26158,0.0,-2.60182,54.75533673
16.510723,0.000000,257.631597,202.0,202.0,1.0,5.0,18.03859,5.96214,1.2562,-1.25621,0.0,-2.5733,55.43670542
