    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    9    5        28   32        0.28520         70.774         71.167            5.700            4.281         0.14142E+00    0.14142E+00    0
    9    5        32   36        0.14873         67.407         67.226            3.440            4.725         0.14142E+00    0.14142E+00    0
    9    5        36   40        0.26304         61.108         61.429            4.250            4.703         0.14142E+00    0.14142E+00    0
    9    5        40   44        0.59433         60.408         61.130            4.160            4.616         0.14142E+00    0.14142E+00    0
    9    5        30   34        0.33175         67.394         67.828            6.300            4.580         0.14142E+00    0.14142E+00    0
    9    5        38   42        0.56024         58.733         59.393            5.350            4.460         0.14142E+00    0.14142E+00    0
    9    7        16   18        0.29277         80.264         79.796            3.360            3.487         0.14142E+00    0.14142E+00    0
    9    7        18   20        0.84853         76.811         75.518            3.340            3.228         0.14142E+00    0.14142E+00    0
    9    7        20   22        0.59893         76.323         75.417            2.550            3.490         0.14142E+00    0.14142E+00    0
    9    7        22   24        0.35561         74.292         73.766            3.450            3.769         0.14142E+00    0.14142E+00    0
    9    7        26   28        0.11425         67.446         67.597            4.510            3.990         0.14142E+00    0.14142E+00    0
    9    8        10   11        0.24300         88.914         88.483            3.990            3.848         0.14142E+00    0.14142E+00    0
    9    8        11   12        0.89157         87.378         85.837            1.880            3.073         0.14142E+00    0.14142E+00    0
    9    8        12   13        0.13241         76.021         76.222            3.100            3.034         0.14142E+00    0.14142E+00    0
    9    8        13   14        0.36760         67.065         67.558            2.390            2.924         0.14142E+00    0.14142E+00    0
   10    3        39   46        0.91130         66.564         65.368            2.540            4.447         0.14142E+00    0.14142E+00    0
   10    3        46   53        1.53973         70.912         68.457            5.180            4.882         0.14142E+00    0.15127E+00    1
   10    3        53   60        0.24537         56.547         56.780            8.080            5.378         0.14142E+00    0.14142E+00    0
   10    3        60   67        0.47605         52.938         53.441            2.980            4.019         0.14142E+00    0.14142E+00    0
   10    3        48   55        1.11556         64.601         63.181            7.040            5.103         0.14142E+00    0.14142E+00    0
   10    3        55   62        0.33163         55.372         55.712            7.830            5.260         0.14142E+00    0.14142E+00    0
   10    3        62   69        0.59293         48.911         49.493            2.440            3.190         0.14142E+00    0.14142E+00    0
   10    3        43   50        1.74499         80.601         76.975            1.640            4.656         0.14142E+00    0.16257E+00    1
   10    3        50   57        0.64207         59.500         58.747            6.820            5.207         0.14142E+00    0.14142E+00    0
   10    6        33   37        0.10261         64.414         64.545            4.410            4.699         0.14142E+00    0.14142E+00    0
   10    6        35   39        0.26735         61.075         61.402            5.080            4.812         0.14142E+00    0.14142E+00    0
   10    6        43   47        1.74688         84.578         80.717            5.220            4.656         0.14142E+00    0.16356E+00    1
   10    8        17   19        0.48607         74.456         73.740            2.430            3.421         0.14142E+00    0.14142E+00    0
   10    8        19   21        0.90994         77.727         76.326            2.370            3.163         0.14142E+00    0.14142E+00    0
   10    8        21   23        0.68496         78.931         77.857            3.720            3.876         0.14142E+00    0.14142E+00    0
   10    8        23   25        0.41360         71.215         70.631            2.920            3.711         0.14142E+00    0.14142E+00    0
   10    8        25   27        0.09742         79.918         80.069            4.540            4.030         0.14142E+00    0.14142E+00    0
   10    8        29   31        0.57799         66.242         67.011            4.920            4.217         0.14142E+00    0.14142E+00    0
   10    9        12   13        0.86591         87.475         85.973            3.120            3.403         0.14142E+00    0.14142E+00    0
   10    9        13   14        0.35112         74.684         74.162            2.820            3.197         0.14142E+00    0.14142E+00    0
   10    9        15   16        0.39254         67.868         68.401            2.730            3.373         0.14142E+00    0.14142E+00    0
   10    9        16   17        0.24599         85.795         86.207            4.910            3.767         0.14142E+00    0.14142E+00    0
   10    9        18   19        0.91944         76.090         74.710            5.260            3.532         0.14142E+00    0.14142E+00    0
   11    4        40   47        1.13547         70.361         68.784            3.130            4.649         0.14142E+00    0.14142E+00    0
   11    4        47   54        1.49151         67.133         65.023            5.350            5.054         0.14142E+00    0.14634E+00    1
   11    4        54   61        0.26970         56.106         56.404            6.550            5.522         0.14142E+00    0.14142E+00    0
   11    4        42   49        1.60056         76.985         74.052            2.330            4.665         0.14142E+00    0.15591E+00    1
   11    4        49   56        0.97774         61.344         60.157            5.420            5.225         0.14142E+00    0.14142E+00    0
   11    4        56   63        0.47514         55.561         56.081            3.440            5.276         0.14142E+00    0.14142E+00    0
   11    4        51   58        0.45064         57.221         56.707            5.320            5.406         0.14142E+00    0.14142E+00    0
   11    4        58   65        0.13255         56.014         56.155            5.610            4.729         0.14142E+00    0.14142E+00    0
   11    4        65   72        0.10779         47.428         47.408            4.370            2.255         0.14142E+00    0.14142E+00    0
   11    7        30   34        0.20889         67.010         67.290            4.300            4.616         0.14142E+00    0.14142E+00    0
   11    7        34   38        0.36890         62.863         63.326            5.790            4.885         0.14142E+00    0.14142E+00    0
   11    7        38   42        0.67470         57.852         58.638            4.530            4.564         0.14142E+00    0.14142E+00    0
   11    7        42   46        1.44301         75.742         73.354            4.810            4.654         0.14142E+00    0.14899E+00    1
   11    7        32   36        0.18845         66.378         66.628            4.570            4.781         0.14142E+00    0.14142E+00    0
   11    7        36   40        0.40591         60.225         60.707            6.330            4.796         0.14142E+00    0.14142E+00    0
   11    7        40   44        0.59432         59.606         60.293            7.940            4.734         0.14142E+00    0.14142E+00    0
   11    9        18   20        0.64312         76.862         75.880            3.710            3.460         0.14142E+00    0.14142E+00    0
   11    9        20   22        0.84386         77.458         76.162            3.380            3.665         0.14142E+00    0.14142E+00    0
   11    9        22   24        0.77688         76.514         75.335            3.540            3.930         0.14142E+00    0.14142E+00    0
   11    9        24   26        0.39215         79.941         79.317            3.760            4.084         0.14142E+00    0.14142E+00    0
   11    9        26   28        0.20930         70.042         69.750            4.510            4.139         0.14142E+00    0.14142E+00    0
   11    9        28   30        0.17371         74.888         75.136            3.210            4.280         0.14142E+00    0.14142E+00    0
   11    9        30   32        0.19569         67.317         67.567            3.250            4.492         0.14142E+00    0.14142E+00    0
   11    9        32   34        0.51195         68.460         69.164            4.620            4.943         0.14142E+00    0.14142E+00    0
   11   10        12   13        0.02158         91.514         91.549            3.480            3.691         0.14142E+00    0.14142E+00    0
   11   10        13   14        0.60199         79.584         78.631            3.300            3.438         0.14142E+00    0.14142E+00    0
